,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_image_size,params_lr,params_optimizer,state
0,0,0.09,2020-11-15 20:14:35.849014,2020-11-15 20:14:40.579714,0 days 00:00:04.730700,0.5,"(150, 150)",8.786397579535106e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
1,1,0.18,2020-11-15 20:14:40.580711,2020-11-15 20:14:43.962778,0 days 00:00:03.382067,0.5,"(180, 180)",3.3863682718866174e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
