,number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0,0.46,2020-11-16 20:29:05.015086,2020-11-16 22:18:40.721209,0 days 01:49:35.706123,0.007967257416847142,COMPLETE
1,1,0.46,2020-11-16 22:18:40.722206,2020-11-17 00:05:00.009455,0 days 01:46:19.287249,0.00589590714555174,COMPLETE
2,2,0.47,2020-11-17 00:05:00.010452,2020-11-17 01:50:54.137918,0 days 01:45:54.127466,0.0076829246624260895,COMPLETE
3,3,0.38,2020-11-17 01:50:54.138915,2020-11-17 03:36:20.776114,0 days 01:45:26.637199,0.0020670270122339993,COMPLETE
4,4,0.4,2020-11-17 03:36:20.777145,2020-11-17 05:21:50.109482,0 days 01:45:29.332337,0.0016924416274576087,COMPLETE
