,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_image_size,params_lr,params_optimizer,state
0,0,0.22,2020-11-15 20:15:37.854223,2020-11-15 20:15:45.094958,0 days 00:00:07.240735,0.4,"(224, 224)",5.595478094302401e-06,<class 'torch.optim.adam.Adam'>,COMPLETE
1,1,0.2,2020-11-15 20:15:45.095955,2020-11-15 20:15:53.355114,0 days 00:00:08.259159,0.2,"(300, 300)",5.727667161242837e-06,<class 'torch.optim.adam.Adam'>,COMPLETE
