,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_image_size,params_lr,params_optimizer,state
0,0,0.2,2020-11-15 19:50:06.331840,2020-11-15 19:50:13.730693,0 days 00:00:07.398853,0.30000000000000004,"(224, 224)",1.512408040154184e-06,<class 'torch.optim.adam.Adam'>,COMPLETE
1,1,0.23,2020-11-15 19:50:13.734683,2020-11-15 19:50:17.914512,0 days 00:00:04.179829,0.30000000000000004,"(180, 180)",4.851528708095062e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
