,number,value,datetime_start,datetime_complete,duration,params_image_size,params_lr,state
38,38,0.44266666666666665,2020-11-07 05:08:25.002639,2020-11-07 05:08:42.004651,0 days 00:00:17.002012,"(224, 224)",1.8459348302331642e-05,PRUNED
39,39,0.41333333333333333,2020-11-07 05:08:42.004651,2020-11-07 05:08:54.273152,0 days 00:00:12.268501,"(180, 180)",1.4160238105591642e-05,PRUNED
40,40,0.428,2020-11-07 05:08:54.273152,2020-11-07 05:09:06.565382,0 days 00:00:12.292230,"(180, 180)",1.1667359306644435e-05,PRUNED
41,41,0.42133333333333334,2020-11-07 05:09:06.566376,2020-11-07 05:09:23.509139,0 days 00:00:16.942763,"(224, 224)",8.443146497445562e-05,PRUNED
42,42,0.472,2020-11-07 05:09:23.509139,2020-11-07 05:09:40.433528,0 days 00:00:16.924389,"(224, 224)",6.532948208233131e-05,PRUNED
43,43,0.8013333333333333,2020-11-07 05:09:40.434325,2020-11-07 05:51:39.143356,0 days 00:41:58.709031,"(224, 224)",9.745592299120718e-05,COMPLETE
44,44,0.472,2020-11-07 05:51:39.144353,2020-11-07 05:51:56.129180,0 days 00:00:16.984827,"(224, 224)",5.404761902048365e-05,PRUNED
45,45,0.47733333333333333,2020-11-07 05:51:56.130114,2020-11-07 05:52:13.076675,0 days 00:00:16.946561,"(224, 224)",9.747577455113487e-05,PRUNED
46,46,0.49066666666666664,2020-11-07 05:52:13.077563,2020-11-07 05:52:29.997687,0 days 00:00:16.920124,"(224, 224)",4.421542321998071e-05,PRUNED
47,47,0.44533333333333336,2020-11-07 05:52:29.998661,2020-11-07 05:52:42.338372,0 days 00:00:12.339711,"(180, 180)",2.732574517139555e-05,PRUNED
48,48,0.4746666666666667,2020-11-07 05:52:42.338372,2020-11-07 05:52:59.308836,0 days 00:00:16.970464,"(224, 224)",1.7460959680490883e-05,PRUNED
49,49,0.47733333333333333,2020-11-07 05:52:59.309240,2020-11-07 05:53:23.805329,0 days 00:00:24.496089,"(180, 180)",5.316693274421948e-05,PRUNED
50,50,0.5706666666666667,2020-11-07 05:53:23.806271,2020-11-07 05:54:12.596339,0 days 00:00:48.790068,"(180, 180)",3.622684697586396e-05,PRUNED
51,51,0.544,2020-11-07 05:54:12.597216,2020-11-07 05:55:03.111360,0 days 00:00:50.514144,"(224, 224)",9.034995450650243e-05,PRUNED
52,52,0.7773333333333333,2020-11-07 05:55:03.112357,2020-11-07 06:36:59.521240,0 days 00:41:56.408883,"(224, 224)",7.183149815827332e-05,COMPLETE
53,53,0.408,2020-11-07 06:36:59.522930,2020-11-07 06:37:16.486330,0 days 00:00:16.963400,"(224, 224)",6.778551819901602e-05,PRUNED
54,54,0.496,2020-11-07 06:37:16.487329,2020-11-07 06:37:33.441605,0 days 00:00:16.954276,"(224, 224)",7.593859754988635e-05,PRUNED
55,55,0.544,2020-11-07 06:37:33.442517,2020-11-07 06:38:24.003047,0 days 00:00:50.560530,"(224, 224)",5.917454928954638e-05,PRUNED
56,56,0.48533333333333334,2020-11-07 06:38:24.004044,2020-11-07 06:38:40.958025,0 days 00:00:16.953981,"(224, 224)",2.250717188550922e-05,PRUNED
57,57,0.756,2020-11-07 06:38:40.958965,2020-11-07 07:09:05.878763,0 days 00:30:24.919798,"(180, 180)",8.424484367323524e-05,COMPLETE
58,58,0.6786666666666666,2020-11-07 07:09:05.880527,2020-11-07 07:12:08.378424,0 days 00:03:02.497897,"(180, 180)",9.934666202953266e-05,PRUNED
59,59,0.5373333333333333,2020-11-07 07:12:08.379421,2020-11-07 07:12:58.878878,0 days 00:00:50.499457,"(224, 224)",3.0249783108948505e-05,PRUNED
60,60,0.43466666666666665,2020-11-07 07:12:58.879719,2020-11-07 07:13:11.203742,0 days 00:00:12.324023,"(180, 180)",1.424083942586994e-05,PRUNED
61,61,0.5293333333333333,2020-11-07 07:13:11.205009,2020-11-07 07:13:35.700775,0 days 00:00:24.495766,"(180, 180)",8.252716222085958e-05,PRUNED
