,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_lr,params_optimizer,state
0,0,0.43733333333333335,2020-11-12 19:34:57.901335,2020-11-12 19:36:40.979931,0 days 00:01:43.078596,0.5,8.91773969688535e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
1,1,0.19733333333333333,2020-11-12 19:36:40.980900,2020-11-12 19:38:18.849122,0 days 00:01:37.868222,0.4,0.0002752351172534921,<class 'torch.optim.sgd.SGD'>,COMPLETE
2,2,0.444,2020-11-12 19:38:18.850626,2020-11-12 19:39:59.858999,0 days 00:01:41.008373,0.30000000000000004,3.330933666762638e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
