,number,value,datetime_start,datetime_complete,duration,params_dropout,params_dropout_rate,params_image_size,params_lr,params_optimizer,state
30,30,0.264,2020-11-26 15:04:02.522341,2020-11-26 15:04:14.167902,0 days 00:00:11.645561,True,0.4,"(150, 150)",0.0043839513432292945,<class 'torch.optim.sgd.SGD'>,PRUNED
31,31,0.47,2020-11-26 15:04:14.167902,2020-11-26 15:06:06.817396,0 days 00:01:52.649494,False,0.4,"(224, 224)",0.008108350227466922,<class 'torch.optim.sgd.SGD'>,COMPLETE
32,32,0.2,2020-11-26 15:06:06.817396,2020-11-26 15:06:18.252268,0 days 00:00:11.434872,False,0.4,"(224, 224)",0.005545002355475513,<class 'torch.optim.sgd.SGD'>,PRUNED
33,33,0.2,2020-11-26 15:06:18.252268,2020-11-26 15:06:29.824810,0 days 00:00:11.572542,False,0.5,"(224, 224)",0.008160879574694292,<class 'torch.optim.sgd.SGD'>,PRUNED
34,34,0.2,2020-11-26 15:06:29.825772,2020-11-26 15:06:45.143645,0 days 00:00:15.317873,False,0.30000000000000004,"(224, 224)",0.007166383690353695,<class 'torch.optim.sgd.SGD'>,PRUNED
35,35,0.2,2020-11-26 15:06:45.144641,2020-11-26 15:06:57.587206,0 days 00:00:12.442565,False,0.4,"(224, 224)",0.008555237339511516,<class 'torch.optim.sgd.SGD'>,PRUNED
36,36,0.2,2020-11-26 15:06:57.588202,2020-11-26 15:07:13.417001,0 days 00:00:15.828799,False,0.2,"(224, 224)",0.005662162524110539,<class 'torch.optim.adam.Adam'>,PRUNED
37,37,0.176,2020-11-26 15:07:13.417001,2020-11-26 15:07:16.804430,0 days 00:00:03.387429,False,0.4,"(180, 180)",0.0011115530699800568,<class 'torch.optim.sgd.SGD'>,PRUNED
38,38,0.57,2020-11-26 15:07:16.805427,2020-11-26 15:09:13.095865,0 days 00:01:56.290438,False,0.30000000000000004,"(224, 224)",0.00997564314566205,<class 'torch.optim.sgd.SGD'>,COMPLETE
39,39,0.2,2020-11-26 15:09:13.096862,2020-11-26 15:09:25.404793,0 days 00:00:12.307931,False,0.30000000000000004,"(180, 180)",0.0014715417159868725,<class 'torch.optim.adam.Adam'>,PRUNED
40,40,0.43,2020-11-26 15:09:25.405813,2020-11-26 15:10:50.523453,0 days 00:01:25.117640,False,0.1,"(150, 150)",0.009993211756093197,<class 'torch.optim.sgd.SGD'>,COMPLETE
41,41,0.2,2020-11-26 15:10:50.523453,2020-11-26 15:11:02.383037,0 days 00:00:11.859584,False,0.30000000000000004,"(224, 224)",0.008673110695318304,<class 'torch.optim.sgd.SGD'>,PRUNED
42,42,0.2,2020-11-26 15:11:02.383037,2020-11-26 15:11:17.611712,0 days 00:00:15.228675,False,0.4,"(224, 224)",0.006828338124079553,<class 'torch.optim.sgd.SGD'>,PRUNED
43,43,0.2,2020-11-26 15:11:17.612709,2020-11-26 15:11:47.371946,0 days 00:00:29.759237,False,0.2,"(224, 224)",0.004951677022903145,<class 'torch.optim.sgd.SGD'>,PRUNED
44,44,0.2,2020-11-26 15:11:47.371946,2020-11-26 15:11:58.534447,0 days 00:00:11.162501,False,0.4,"(224, 224)",0.007569152434337352,<class 'torch.optim.sgd.SGD'>,PRUNED
45,45,0.196,2020-11-26 15:11:58.535445,2020-11-26 15:12:02.740889,0 days 00:00:04.205444,True,0.5,"(224, 224)",0.009927337058726981,<class 'torch.optim.sgd.SGD'>,PRUNED
46,46,0.2,2020-11-26 15:12:02.740889,2020-11-26 15:12:14.945641,0 days 00:00:12.204752,False,0.30000000000000004,"(224, 224)",0.008674741469232038,<class 'torch.optim.sgd.SGD'>,PRUNED
47,47,0.2,2020-11-26 15:12:14.946654,2020-11-26 15:12:23.527820,0 days 00:00:08.581166,True,0.4,"(150, 150)",0.006184640582497433,<class 'torch.optim.sgd.SGD'>,PRUNED
48,48,0.196,2020-11-26 15:12:23.528818,2020-11-26 15:12:26.854090,0 days 00:00:03.325272,True,0.5,"(180, 180)",0.0025650929781201445,<class 'torch.optim.sgd.SGD'>,PRUNED
49,49,0.348,2020-11-26 15:12:26.855089,2020-11-26 15:13:58.157609,0 days 00:01:31.302520,True,0.30000000000000004,"(224, 224)",0.007188042554991618,<class 'torch.optim.sgd.SGD'>,PRUNED
