,number,value,datetime_start,datetime_complete,duration,state
0,0,0.7693333333333333,2020-11-07 18:09:41.860324,2020-11-07 18:45:17.969772,0 days 00:35:36.109448,COMPLETE
1,1,0.7773333333333333,2020-11-07 18:45:17.970769,2020-11-07 19:20:48.487395,0 days 00:35:30.516626,COMPLETE
2,2,0.7666666666666667,2020-11-07 19:20:48.488613,2020-11-07 19:56:18.771365,0 days 00:35:30.282752,COMPLETE
