,number,value,datetime_start,datetime_complete,duration,params_image_size,params_lr,state
0,0,0.744,2020-11-06 22:09:47.544462,2020-11-06 22:18:37.752348,0 days 00:08:50.207886,"(224, 224)",9.758903667926424e-05,COMPLETE
1,1,0.7466666666666667,2020-11-06 22:18:37.753561,2020-11-06 22:24:56.920192,0 days 00:06:19.166631,"(180, 180)",8.092535434174598e-05,COMPLETE
2,2,0.7266666666666667,2020-11-06 22:24:56.920192,2020-11-06 22:37:57.126967,0 days 00:13:00.206775,"(300, 300)",3.87181581304834e-05,COMPLETE
3,3,0.7,2020-11-06 22:37:57.127964,2020-11-06 22:50:57.189866,0 days 00:13:00.061902,"(300, 300)",1.9222647065109596e-05,COMPLETE
4,4,0.6866666666666666,2020-11-06 22:50:57.190723,2020-11-06 23:03:57.486698,0 days 00:13:00.295975,"(300, 300)",1.549916592195292e-05,COMPLETE
5,5,0.4533333333333333,2020-11-06 23:03:57.487461,2020-11-06 23:04:15.075389,0 days 00:00:17.587928,"(224, 224)",3.3730070777866624e-05,PRUNED
6,6,0.4573333333333333,2020-11-06 23:04:15.076547,2020-11-06 23:04:41.180543,0 days 00:00:26.103996,"(300, 300)",1.0327310964017765e-05,PRUNED
7,7,0.44,2020-11-06 23:04:41.181554,2020-11-06 23:04:53.838442,0 days 00:00:12.656888,"(180, 180)",8.007736143921669e-05,PRUNED
8,8,0.45466666666666666,2020-11-06 23:04:53.839439,2020-11-06 23:05:11.453230,0 days 00:00:17.613791,"(224, 224)",6.0045771296281955e-05,PRUNED
9,9,0.5733333333333334,2020-11-06 23:05:11.453230,2020-11-06 23:06:03.825250,0 days 00:00:52.372020,"(224, 224)",5.975953449449201e-05,PRUNED
10,10,0.492,2020-11-06 23:06:03.826345,2020-11-06 23:06:28.975642,0 days 00:00:25.149297,"(180, 180)",5.1058785673083746e-05,PRUNED
11,11,0.6346666666666667,2020-11-06 23:06:28.976639,2020-11-06 23:08:21.470259,0 days 00:01:52.493620,"(180, 180)",9.885346095725052e-05,PRUNED
12,12,0.484,2020-11-06 23:08:21.471256,2020-11-06 23:08:34.117833,0 days 00:00:12.646577,"(180, 180)",9.768328817499296e-05,PRUNED
13,13,0.44133333333333336,2020-11-06 23:08:34.118701,2020-11-06 23:08:51.750679,0 days 00:00:17.631978,"(224, 224)",7.79928826521577e-05,PRUNED
14,14,0.45066666666666666,2020-11-06 23:08:51.751315,2020-11-06 23:09:09.342432,0 days 00:00:17.591117,"(224, 224)",2.277025945943413e-05,PRUNED
15,15,0.48133333333333334,2020-11-06 23:09:09.343429,2020-11-06 23:09:21.970261,0 days 00:00:12.626832,"(180, 180)",9.924328391283427e-05,PRUNED
16,16,0.4573333333333333,2020-11-06 23:09:21.971267,2020-11-06 23:09:34.554260,0 days 00:00:12.582993,"(180, 180)",4.8991039760731314e-05,PRUNED
17,17,0.5733333333333334,2020-11-06 23:09:34.555257,2020-11-06 23:10:26.949468,0 days 00:00:52.394211,"(224, 224)",7.906206615088628e-05,PRUNED
18,18,0.5733333333333334,2020-11-06 23:10:26.950501,2020-11-06 23:11:19.375157,0 days 00:00:52.424656,"(224, 224)",2.6131002762746803e-05,PRUNED
19,19,0.5746666666666667,2020-11-06 23:11:19.375750,2020-11-06 23:11:56.948145,0 days 00:00:37.572395,"(180, 180)",6.463848060744799e-05,PRUNED
