,number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0,0.74,2020-11-06 23:18:04.526841,2020-11-06 23:34:54.131624,0 days 00:16:49.604783,2.5009324454730255e-05,COMPLETE
1,1,0.7626666666666667,2020-11-06 23:34:54.133303,2020-11-06 23:51:41.550413,0 days 00:16:47.417110,4.1922033217198004e-05,COMPLETE
2,2,0.7773333333333333,2020-11-06 23:51:41.551410,2020-11-07 00:08:25.776991,0 days 00:16:44.225581,2.517139117013643e-05,COMPLETE
3,3,0.7733333333333333,2020-11-07 00:08:25.777988,2020-11-07 00:25:10.044489,0 days 00:16:44.266501,6.137845804727918e-05,COMPLETE
4,4,0.7653333333333333,2020-11-07 00:25:10.045489,2020-11-07 00:42:25.012984,0 days 00:17:14.967495,2.5003709756992837e-05,COMPLETE
