,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_epochs,params_image_size,params_lr,params_optimizer,state
10,10,0.23866666666666667,2020-11-05 21:46:55.297400,2020-11-05 21:47:16.270618,0 days 00:00:20.973218000,0.1,55,"(224, 224)",3.1450578862078294e-06,<class 'torch.optim.adam.Adam'>,PRUNED
11,11,0.7266666666666667,2020-11-05 21:47:16.270618,2020-11-05 22:07:45.494834,0 days 00:20:29.224216000,0.30000000000000004,55,"(224, 224)",2.520889812190832e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
12,12,0.7586666666666667,2020-11-05 22:07:45.494834,2020-11-05 22:28:19.476819,0 days 00:20:33.981985000,0.4,55,"(224, 224)",9.990862178579097e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
13,13,0.7773333333333333,2020-11-05 22:28:19.477816,2020-11-05 22:51:21.652869,0 days 00:23:02.175053000,0.4,55,"(224, 224)",7.745436811964208e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
14,14,0.756,2020-11-05 22:51:21.654864,2020-11-05 23:14:49.575898,0 days 00:23:27.921034000,0.4,55,"(224, 224)",9.878656132988431e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
15,15,0.764,2020-11-05 23:14:49.576868,2020-11-05 23:35:34.432144,0 days 00:20:44.855276000,0.4,55,"(180, 180)",7.412717983261179e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
16,16,0.45066666666666666,2020-11-05 23:35:34.433141,2020-11-05 23:36:03.499430,0 days 00:00:29.066289000,0.4,55,"(180, 180)",8.519281066922114e-05,<class 'torch.optim.adam.Adam'>,PRUNED
17,17,0.5213333333333333,2020-11-05 23:36:03.499430,2020-11-05 23:36:47.044597,0 days 00:00:43.545167000,0.5,55,"(180, 180)",5.951887359234651e-05,<class 'torch.optim.adam.Adam'>,PRUNED
18,18,0.7693333333333333,2020-11-05 23:36:47.044597,2020-11-05 23:57:07.721813,0 days 00:20:20.677216000,0.4,55,"(180, 180)",9.396137519640149e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
19,19,0.20533333333333334,2020-11-05 23:57:07.722811,2020-11-05 23:57:29.973524,0 days 00:00:22.250713000,0.5,60,"(180, 180)",1.3907555649485363e-06,<class 'torch.optim.adam.Adam'>,PRUNED
20,20,0.392,2020-11-05 23:57:29.974526,2020-11-05 23:57:52.074649,0 days 00:00:22.100123000,0.2,55,"(180, 180)",1.994533131697557e-05,<class 'torch.optim.adam.Adam'>,PRUNED
21,21,0.476,2020-11-05 23:57:52.075646,2020-11-05 23:58:13.864211,0 days 00:00:21.788565000,0.4,55,"(180, 180)",7.827030410461724e-05,<class 'torch.optim.adam.Adam'>,PRUNED
22,22,0.7893333333333333,2020-11-05 23:58:13.865207,2020-11-06 00:18:04.761882,0 days 00:19:50.896675000,0.4,55,"(180, 180)",6.34192248576476e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
23,23,0.4706666666666667,2020-11-06 00:18:04.762879,2020-11-06 00:18:24.263529,0 days 00:00:19.500650000,0.4,55,"(180, 180)",3.5697472657969405e-05,<class 'torch.optim.adam.Adam'>,PRUNED
24,24,0.484,2020-11-06 00:18:24.263529,2020-11-06 00:18:43.649300,0 days 00:00:19.385771000,0.30000000000000004,55,"(180, 180)",9.880560021161237e-05,<class 'torch.optim.adam.Adam'>,PRUNED
25,25,0.4666666666666667,2020-11-06 00:18:43.649300,2020-11-06 00:19:03.296366,0 days 00:00:19.647066000,0.5,55,"(180, 180)",5.7998179141452746e-05,<class 'torch.optim.adam.Adam'>,PRUNED
26,26,0.5826666666666667,2020-11-06 00:19:03.296366,2020-11-06 00:20:34.807761,0 days 00:01:31.511395000,0.4,50,"(224, 224)",4.279890946229758e-05,<class 'torch.optim.adam.Adam'>,PRUNED
27,27,0.19733333333333333,2020-11-06 00:20:34.807761,2020-11-06 00:20:48.537710,0 days 00:00:13.729949000,0.30000000000000004,60,"(180, 180)",6.78973723029257e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
28,28,0.47733333333333333,2020-11-06 00:20:48.537710,2020-11-06 00:21:11.615746,0 days 00:00:23.078036000,0.4,55,"(224, 224)",2.50623853891832e-05,<class 'torch.optim.adam.Adam'>,PRUNED
29,29,0.47733333333333333,2020-11-06 00:21:11.616741,2020-11-06 00:21:31.387936,0 days 00:00:19.771195000,0.5,50,"(180, 180)",1.658306384481441e-05,<class 'torch.optim.adam.Adam'>,PRUNED
30,30,0.344,2020-11-06 00:21:31.388935,2020-11-06 00:21:49.642337,0 days 00:00:18.253402000,0.4,55,"(150, 150)",7.568119960087117e-06,<class 'torch.optim.adam.Adam'>,PRUNED
31,31,0.41733333333333333,2020-11-06 00:21:49.643334,2020-11-06 00:22:09.074214,0 days 00:00:19.430880000,0.4,55,"(180, 180)",7.336159245334365e-05,<class 'torch.optim.adam.Adam'>,PRUNED
32,32,0.49066666666666664,2020-11-06 00:22:09.075211,2020-11-06 00:22:47.877526,0 days 00:00:38.802315000,0.4,55,"(180, 180)",9.841530529310195e-05,<class 'torch.optim.adam.Adam'>,PRUNED
33,33,0.6573333333333333,2020-11-06 00:22:47.878523,2020-11-06 00:26:51.803191,0 days 00:04:03.924668000,0.5,55,"(300, 300)",5.086080189909533e-05,<class 'torch.optim.adam.Adam'>,PRUNED
34,34,0.336,2020-11-06 00:26:51.804188,2020-11-06 00:27:11.345223,0 days 00:00:19.541035000,0.30000000000000004,55,"(180, 180)",4.4215326325337304e-06,<class 'torch.optim.adam.Adam'>,PRUNED
35,35,0.196,2020-11-06 00:27:11.346222,2020-11-06 00:27:25.134973,0 days 00:00:13.788751000,0.4,55,"(180, 180)",7.672623036868363e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
36,36,0.43466666666666665,2020-11-06 00:27:25.135970,2020-11-06 00:27:44.868115,0 days 00:00:19.732145000,0.4,50,"(180, 180)",3.226225069647921e-05,<class 'torch.optim.adam.Adam'>,PRUNED
37,37,0.484,2020-11-06 00:27:44.868115,2020-11-06 00:28:03.148788,0 days 00:00:18.280673000,0.30000000000000004,55,"(150, 150)",5.585718405766197e-05,<class 'torch.optim.adam.Adam'>,PRUNED
38,38,0.20266666666666666,2020-11-06 00:28:03.148788,2020-11-06 00:28:23.375166,0 days 00:00:20.226378000,0.5,50,"(300, 300)",4.374736241422603e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
39,39,0.4493333333333333,2020-11-06 00:28:23.375166,2020-11-06 00:28:46.347368,0 days 00:00:22.972202000,0.2,55,"(224, 224)",9.878641552430663e-05,<class 'torch.optim.adam.Adam'>,PRUNED
40,40,0.54,2020-11-06 00:28:46.347368,2020-11-06 00:29:44.501881,0 days 00:00:58.154513000,0.30000000000000004,60,"(180, 180)",6.847732282145535e-05,<class 'torch.optim.adam.Adam'>,PRUNED
41,41,0.7693333333333333,2020-11-06 00:29:44.502884,2020-11-06 00:49:52.803324,0 days 00:20:08.300440000,0.4,55,"(224, 224)",9.598184739313564e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
42,42,0.47733333333333333,2020-11-06 00:49:52.804321,2020-11-06 00:50:14.773373,0 days 00:00:21.969052000,0.4,55,"(224, 224)",8.546904180998515e-05,<class 'torch.optim.adam.Adam'>,PRUNED
43,43,0.3933333333333333,2020-11-06 00:50:14.773373,2020-11-06 00:50:36.977828,0 days 00:00:22.204455000,0.4,55,"(224, 224)",5.1923954332251554e-05,<class 'torch.optim.adam.Adam'>,PRUNED
44,44,0.45466666666666666,2020-11-06 00:50:36.978826,2020-11-06 00:50:59.062400,0 days 00:00:22.083574000,0.4,55,"(224, 224)",6.519303711262199e-05,<class 'torch.optim.adam.Adam'>,PRUNED
45,45,0.216,2020-11-06 00:50:59.062400,2020-11-06 00:51:21.202261,0 days 00:00:22.139861000,0.5,55,"(224, 224)",1.9753438552773003e-06,<class 'torch.optim.adam.Adam'>,PRUNED
46,46,0.37733333333333335,2020-11-06 00:51:21.203259,2020-11-06 00:51:43.204280,0 days 00:00:22.001021000,0.4,55,"(224, 224)",3.6559730388857116e-05,<class 'torch.optim.adam.Adam'>,PRUNED
47,47,0.45866666666666667,2020-11-06 00:51:43.205278,2020-11-06 00:52:00.991175,0 days 00:00:17.785897000,0.4,55,"(150, 150)",8.944518511350252e-05,<class 'torch.optim.adam.Adam'>,PRUNED
48,48,0.196,2020-11-06 00:52:00.991175,2020-11-06 00:52:20.247326,0 days 00:00:19.256151000,0.30000000000000004,60,"(300, 300)",4.5972063802882614e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
49,49,0.4666666666666667,2020-11-06 00:52:20.247326,2020-11-06 00:52:42.358028,0 days 00:00:22.110702000,0.5,55,"(224, 224)",1.2943573535452606e-05,<class 'torch.optim.adam.Adam'>,PRUNED
50,50,0.436,2020-11-06 00:52:42.358028,2020-11-06 00:53:01.144045,0 days 00:00:18.786017000,0.4,55,"(180, 180)",2.5828604951575478e-05,<class 'torch.optim.adam.Adam'>,PRUNED
51,51,0.4826666666666667,2020-11-06 00:53:01.144045,2020-11-06 00:53:45.079010,0 days 00:00:43.934965000,0.4,55,"(224, 224)",8.254856602879935e-05,<class 'torch.optim.adam.Adam'>,PRUNED
52,52,0.528,2020-11-06 00:53:45.079010,2020-11-06 00:54:28.914564,0 days 00:00:43.835554000,0.4,55,"(224, 224)",9.571975517174649e-05,<class 'torch.optim.adam.Adam'>,PRUNED
53,53,0.5426666666666666,2020-11-06 00:54:28.914564,2020-11-06 00:55:34.820379,0 days 00:01:05.905815000,0.4,55,"(224, 224)",6.130433752856965e-05,<class 'torch.optim.adam.Adam'>,PRUNED
54,54,0.7333333333333333,2020-11-06 00:55:34.820379,2020-11-06 01:15:40.274501,0 days 00:20:05.454122000,0.30000000000000004,55,"(224, 224)",9.950802880910226e-05,<class 'torch.optim.adam.Adam'>,PRUNED
55,55,0.5266666666666666,2020-11-06 01:15:40.275499,2020-11-06 01:16:24.246041,0 days 00:00:43.970542000,0.4,55,"(224, 224)",7.189094144138505e-05,<class 'torch.optim.adam.Adam'>,PRUNED
56,56,0.4866666666666667,2020-11-06 01:16:24.247038,2020-11-06 01:16:43.288537,0 days 00:00:19.041499000,0.4,55,"(180, 180)",8.282456925923675e-05,<class 'torch.optim.adam.Adam'>,PRUNED
57,57,0.476,2020-11-06 01:16:43.288537,2020-11-06 01:17:05.813380,0 days 00:00:22.524843000,0.5,55,"(224, 224)",5.1960691184676046e-05,<class 'torch.optim.adam.Adam'>,PRUNED
58,58,0.44266666666666665,2020-11-06 01:17:05.813380,2020-11-06 01:17:24.760320,0 days 00:00:18.946940000,0.4,55,"(180, 180)",3.7056532539086856e-05,<class 'torch.optim.adam.Adam'>,PRUNED
59,59,0.4066666666666667,2020-11-06 01:17:24.761318,2020-11-06 01:17:43.606927,0 days 00:00:18.845609000,0.5,55,"(180, 180)",6.261621331840329e-05,<class 'torch.optim.adam.Adam'>,PRUNED
60,60,0.4746666666666667,2020-11-06 01:17:43.606927,2020-11-06 01:18:05.590359,0 days 00:00:21.983432000,0.4,50,"(224, 224)",7.477992889591637e-05,<class 'torch.optim.adam.Adam'>,PRUNED
61,61,0.48933333333333334,2020-11-06 01:18:05.590359,2020-11-06 01:18:27.739718,0 days 00:00:22.149359000,0.4,55,"(224, 224)",9.973741209890326e-05,<class 'torch.optim.adam.Adam'>,PRUNED
62,62,0.7653333333333333,2020-11-06 01:18:27.739718,2020-11-06 01:38:32.988655,0 days 00:20:05.248937000,0.4,55,"(224, 224)",8.866822398367472e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
63,63,0.7613333333333333,2020-11-06 01:38:32.988655,2020-11-06 01:58:32.705556,0 days 00:19:59.716901000,0.4,55,"(224, 224)",8.396705174348522e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
64,64,0.4786666666666667,2020-11-06 01:58:32.706554,2020-11-06 01:58:54.703731,0 days 00:00:21.997177000,0.4,55,"(224, 224)",7.862992819153459e-05,<class 'torch.optim.adam.Adam'>,PRUNED
65,65,0.6386666666666667,2020-11-06 01:58:54.704731,2020-11-06 02:01:49.094404,0 days 00:02:54.389673000,0.30000000000000004,55,"(224, 224)",6.154349233867561e-05,<class 'torch.optim.adam.Adam'>,PRUNED
66,66,0.5013333333333333,2020-11-06 02:01:49.094404,2020-11-06 02:02:07.891140,0 days 00:00:18.796736000,0.4,55,"(180, 180)",4.9452904446923755e-05,<class 'torch.optim.adam.Adam'>,PRUNED
67,67,0.5826666666666667,2020-11-06 02:02:07.892137,2020-11-06 02:03:18.328786,0 days 00:01:10.436649000,0.4,55,"(150, 150)",8.68401256602163e-05,<class 'torch.optim.adam.Adam'>,PRUNED
68,68,0.49066666666666664,2020-11-06 02:03:18.328786,2020-11-06 02:03:40.312002,0 days 00:00:21.983216000,0.4,55,"(224, 224)",6.865430044761729e-05,<class 'torch.optim.adam.Adam'>,PRUNED
69,69,0.19866666666666666,2020-11-06 02:03:40.312002,2020-11-06 02:03:53.698207,0 days 00:00:13.386205000,0.4,55,"(180, 180)",4.1192107121874164e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
70,70,0.444,2020-11-06 02:03:53.698207,2020-11-06 02:04:23.008829,0 days 00:00:29.310622000,0.30000000000000004,55,"(300, 300)",5.809457558411823e-05,<class 'torch.optim.adam.Adam'>,PRUNED
71,71,0.504,2020-11-06 02:04:23.008829,2020-11-06 02:05:06.891515,0 days 00:00:43.882686000,0.4,55,"(224, 224)",9.915172626799283e-05,<class 'torch.optim.adam.Adam'>,PRUNED
72,72,0.5013333333333333,2020-11-06 02:05:06.892510,2020-11-06 02:05:29.026295,0 days 00:00:22.133785000,0.4,55,"(224, 224)",8.904393288507775e-05,<class 'torch.optim.adam.Adam'>,PRUNED
73,73,0.496,2020-11-06 02:05:29.026295,2020-11-06 02:06:12.740401,0 days 00:00:43.714106000,0.4,55,"(224, 224)",7.710321110987138e-05,<class 'torch.optim.adam.Adam'>,PRUNED
74,74,0.488,2020-11-06 02:06:12.741400,2020-11-06 02:06:34.729601,0 days 00:00:21.988201000,0.4,55,"(224, 224)",6.78219190617829e-05,<class 'torch.optim.adam.Adam'>,PRUNED
75,75,0.436,2020-11-06 02:06:34.729601,2020-11-06 02:06:53.630063,0 days 00:00:18.900462000,0.4,55,"(180, 180)",9.942640326852557e-05,<class 'torch.optim.adam.Adam'>,PRUNED
76,76,0.5546666666666666,2020-11-06 02:06:53.630063,2020-11-06 02:07:58.993277,0 days 00:01:05.363214000,0.5,55,"(224, 224)",5.53472118909042e-05,<class 'torch.optim.adam.Adam'>,PRUNED
77,77,0.5106666666666667,2020-11-06 02:07:58.993277,2020-11-06 02:08:36.250650,0 days 00:00:37.257373000,0.4,55,"(180, 180)",9.002194650327731e-05,<class 'torch.optim.adam.Adam'>,PRUNED
78,78,0.4706666666666667,2020-11-06 02:08:36.250650,2020-11-06 02:08:58.182003,0 days 00:00:21.931353000,0.4,55,"(224, 224)",7.539194830876502e-05,<class 'torch.optim.adam.Adam'>,PRUNED
79,79,0.49466666666666664,2020-11-06 02:08:58.183000,2020-11-06 02:09:17.016638,0 days 00:00:18.833638000,0.30000000000000004,55,"(180, 180)",4.7414966499926116e-05,<class 'torch.optim.adam.Adam'>,PRUNED
80,80,0.49466666666666664,2020-11-06 02:09:17.016638,2020-11-06 02:09:39.089614,0 days 00:00:22.072976000,0.5,55,"(224, 224)",8.756891514987764e-05,<class 'torch.optim.adam.Adam'>,PRUNED
81,81,0.5466666666666666,2020-11-06 02:09:39.089614,2020-11-06 02:10:44.726099,0 days 00:01:05.636485000,0.4,55,"(224, 224)",9.854516212630418e-05,<class 'torch.optim.adam.Adam'>,PRUNED
82,82,0.48133333333333334,2020-11-06 02:10:44.726099,2020-11-06 02:11:06.683386,0 days 00:00:21.957287000,0.4,55,"(224, 224)",6.569529006956472e-05,<class 'torch.optim.adam.Adam'>,PRUNED
83,83,0.33066666666666666,2020-11-06 02:11:06.683386,2020-11-06 02:11:28.666628,0 days 00:00:21.983242000,0.4,55,"(224, 224)",6.440015258004927e-06,<class 'torch.optim.adam.Adam'>,PRUNED
84,84,0.7613333333333333,2020-11-06 02:11:28.666628,2020-11-06 02:31:28.687688,0 days 00:20:00.021060000,0.4,55,"(224, 224)",8.254176875186073e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
85,85,0.7733333333333333,2020-11-06 02:31:28.688685,2020-11-06 02:51:27.999671,0 days 00:19:59.310986000,0.4,55,"(224, 224)",8.018135074256994e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
86,86,0.516,2020-11-06 02:51:28.000668,2020-11-06 02:52:11.789575,0 days 00:00:43.788907000,0.4,55,"(224, 224)",7.955404361046718e-05,<class 'torch.optim.adam.Adam'>,PRUNED
87,87,0.5,2020-11-06 02:52:11.789575,2020-11-06 02:52:29.527144,0 days 00:00:17.737569000,0.4,55,"(150, 150)",5.486292608073911e-05,<class 'torch.optim.adam.Adam'>,PRUNED
88,88,0.20133333333333334,2020-11-06 02:52:29.527144,2020-11-06 02:52:44.280692,0 days 00:00:14.753548000,0.4,55,"(224, 224)",6.977174335872686e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
89,89,0.5253333333333333,2020-11-06 02:52:44.280692,2020-11-06 02:53:22.088591,0 days 00:00:37.807899000,0.4,55,"(180, 180)",4.1522396679251445e-05,<class 'torch.optim.adam.Adam'>,PRUNED
90,90,0.5,2020-11-06 02:53:22.089592,2020-11-06 02:53:51.386250,0 days 00:00:29.296658000,0.4,55,"(300, 300)",5.9110576587539095e-05,<class 'torch.optim.adam.Adam'>,PRUNED
91,91,0.49466666666666664,2020-11-06 02:53:51.387248,2020-11-06 02:54:13.273721,0 days 00:00:21.886473000,0.4,55,"(224, 224)",9.141149509240399e-05,<class 'torch.optim.adam.Adam'>,PRUNED
92,92,0.492,2020-11-06 02:54:13.273721,2020-11-06 02:54:35.184131,0 days 00:00:21.910410000,0.4,55,"(224, 224)",8.079921684965138e-05,<class 'torch.optim.adam.Adam'>,PRUNED
93,93,0.4826666666666667,2020-11-06 02:54:35.185129,2020-11-06 02:54:57.124462,0 days 00:00:21.939333000,0.4,55,"(224, 224)",7.176143749717582e-05,<class 'torch.optim.adam.Adam'>,PRUNED
94,94,0.20666666666666667,2020-11-06 02:54:57.124462,2020-11-06 02:55:19.094712,0 days 00:00:21.970250000,0.4,55,"(224, 224)",1.0289441771925747e-06,<class 'torch.optim.adam.Adam'>,PRUNED
95,95,0.49466666666666664,2020-11-06 02:55:19.094712,2020-11-06 02:55:41.100867,0 days 00:00:22.006155000,0.4,55,"(224, 224)",8.307231193225656e-05,<class 'torch.optim.adam.Adam'>,PRUNED
96,96,0.5013333333333333,2020-11-06 02:55:41.100867,2020-11-06 02:55:59.908574,0 days 00:00:18.807707000,0.4,55,"(180, 180)",6.387556838638008e-05,<class 'torch.optim.adam.Adam'>,PRUNED
97,97,0.31733333333333336,2020-11-06 02:55:59.909572,2020-11-06 02:56:21.967587,0 days 00:00:22.058015000,0.30000000000000004,55,"(224, 224)",4.122914737006305e-06,<class 'torch.optim.adam.Adam'>,PRUNED
98,98,0.612,2020-11-06 02:56:21.967587,2020-11-06 02:59:16.299444,0 days 00:02:54.331857000,0.4,55,"(224, 224)",7.26995930161238e-05,<class 'torch.optim.adam.Adam'>,PRUNED
99,99,0.7506666666666667,2020-11-06 02:59:16.299444,2020-11-06 03:16:29.514550,0 days 00:17:13.215106000,0.4,55,"(180, 180)",9.986077567501273e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
