,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_epochs,params_image_size,params_lr,params_optimizer,state
0,0,0.712,2020-11-05 19:41:15.141582,2020-11-05 20:04:22.785285,0 days 00:23:07.643703000,0.1,50,"(300, 300)",9.698506107233148e-06,<class 'torch.optim.adam.Adam'>,COMPLETE
1,1,0.20133333333333334,2020-11-05 20:04:22.786255,2020-11-05 20:20:41.726113,0 days 00:16:18.939858000,0.5,50,"(300, 300)",5.624653066328289e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
2,2,0.7093333333333334,2020-11-05 20:20:41.726113,2020-11-05 20:38:36.450523,0 days 00:17:54.724410000,0.4,50,"(224, 224)",1.0658959877590564e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
3,3,0.2,2020-11-05 20:38:36.451519,2020-11-05 20:49:56.239829,0 days 00:11:19.788310000,0.2,55,"(150, 150)",4.63971173034881e-05,<class 'torch.optim.sgd.SGD'>,COMPLETE
4,4,0.21466666666666667,2020-11-05 20:49:56.240826,2020-11-05 21:00:40.481256,0 days 00:10:44.240430000,0.2,50,"(150, 150)",5.6927072875230345e-05,<class 'torch.optim.sgd.SGD'>,COMPLETE
5,5,0.7213333333333334,2020-11-05 21:00:40.482254,2020-11-05 21:28:16.723102,0 days 00:27:36.240848000,0.30000000000000004,60,"(300, 300)",1.9201452737690936e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
6,6,0.20266666666666666,2020-11-05 21:28:16.724099,2020-11-05 21:28:33.730680,0 days 00:00:17.006581000,0.1,60,"(150, 150)",1.2455153125018344e-06,<class 'torch.optim.adam.Adam'>,PRUNED
7,7,0.736,2020-11-05 21:28:33.730680,2020-11-05 21:46:19.179954,0 days 00:17:45.449274000,0.1,50,"(224, 224)",3.0402256746256228e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
8,8,0.376,2020-11-05 21:46:19.180953,2020-11-05 21:46:37.175836,0 days 00:00:17.994883000,0.30000000000000004,60,"(180, 180)",1.1744670615223512e-05,<class 'torch.optim.adam.Adam'>,PRUNED
9,9,0.19333333333333333,2020-11-05 21:46:37.176830,2020-11-05 21:46:55.297400,0 days 00:00:18.120570000,0.5,60,"(300, 300)",4.135406706265699e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
