,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_epochs,params_image_size,params_lr,params_optimizer,state
0,0,0.736,2020-11-05 17:47:40.191841,2020-11-05 18:06:18.867453,0 days 00:18:38.675612000,0.4,60,"(180, 180)",1.838872288199961e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
1,1,0.724,2020-11-05 18:06:18.868451,2020-11-05 18:30:03.026526,0 days 00:23:44.158075000,0.5,50,"(300, 300)",1.479717414919216e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
2,2,0.2,2020-11-05 18:30:03.027523,2020-11-05 18:38:22.480348,0 days 00:08:19.452825000,0.2,35,"(224, 224)",2.639592954956357e-05,<class 'torch.optim.sgd.SGD'>,COMPLETE
3,3,0.2,2020-11-05 18:38:22.481346,2020-11-05 18:47:36.100301,0 days 00:09:13.618955000,0.4,30,"(300, 300)",9.329956464707228e-05,<class 'torch.optim.sgd.SGD'>,COMPLETE
4,4,0.6106666666666667,2020-11-05 18:47:36.101299,2020-11-05 19:06:11.284381,0 days 00:18:35.183082000,0.30000000000000004,50,"(224, 224)",1.6577816589436449e-06,<class 'torch.optim.adam.Adam'>,COMPLETE
5,5,0.748,2020-11-05 19:06:11.285379,2020-11-05 19:17:28.596575,0 days 00:11:17.311196000,0.30000000000000004,40,"(150, 150)",0.0002256772578282532,<class 'torch.optim.adam.Adam'>,COMPLETE
6,6,0.27466666666666667,2020-11-05 19:17:28.597573,2020-11-05 19:17:56.623679,0 days 00:00:28.026106000,0.1,60,"(300, 300)",1.2292367665515804e-06,<class 'torch.optim.adam.Adam'>,PRUNED
7,7,0.6613333333333333,2020-11-05 19:17:56.623679,2020-11-05 19:28:46.649801,0 days 00:10:50.026122000,0.2,35,"(224, 224)",9.690904815515032e-06,<class 'torch.optim.adam.Adam'>,PRUNED
8,8,0.21066666666666667,2020-11-05 19:28:46.649801,2020-11-05 19:29:05.029675,0 days 00:00:18.379874000,0.4,40,"(300, 300)",7.839892288375479e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
9,9,0.19866666666666666,2020-11-05 19:29:05.029675,2020-11-05 19:29:23.271871,0 days 00:00:18.242196000,0.1,50,"(300, 300)",3.1695739193558975e-06,<class 'torch.optim.sgd.SGD'>,PRUNED
